,HC1,A1preES,A1postES,HC2,HC3,A2_1,A2_2,A3_1,A3_2,B1,HC4,A4preES,A4postES,HC5,HC6,A5,B2
pvalue,0.01210250917,0.04822762791,0.1488686634,0.01531851131,0.00440365457,0.05733668277,0.00819004809,0.04548866685,0.05023104058,0.2255145794,0.008145241652,0.1079932934,0.1845238762,0.03427453182,0.06469067462,0.3460153727,0.5399423949
diff,*,*,n.s.,*,**,n.s.,**,*,n.s.,n.s.,**,n.s.,n.s.,*,n.s.,n.s.,n.s.
