,HC1,A1preES,A1postES,HC2,HC3,A2_1,A2_2,A3_1,A3_2,B1,HC4,A4preES,A4postES,HC5,HC6,A5,B2
spikes,2301890.0,1573862.0,1264376.0,2736760.0,2391712.0,3958598.0,1721326.0,3890851.0,1731823.0,1651406.0,2205310.0,1643143.0,1246615.0,2495947.0,2107757.0,1799421.0,1428012.0
times,2489103.0999998944,1239300.0,907598.900000063,2525516.3999998616,2660710.3999998267,3963948.299999647,1348055.7999999656,3963998.5999996937,1348055.7999999656,1347746.3999999657,2598969.4999999125,1276200.0,933104.2000000732,2598984.0999999135,2538354.7000000053,1285556.9999999844,1285556.9999999844
event_rate,0.9247869242540004,1.2699604615508755,1.3930999696010122,1.0836437252991704,0.8988997825543719,0.998650259893741,1.2768952145749783,0.9815470166917568,1.2846819842324362,1.2253091531166709,0.8485324664256638,1.2875278169565898,1.3359869133585534,0.9603548555761011,0.8303634633883104,1.3997208991900179,1.1108118893211405
